date,workload
2022-05-26,1460894.0
2022-05-27,1744688.0
2022-05-28,874668.0
2022-05-29,555224.0
2022-05-30,1388790.0
2022-05-31,831377.0
2022-06-01,1216887.0
2022-06-02,727842.0
2022-06-03,1410368.0
2022-06-04,1550735.0
2022-06-05,527769.0
2022-06-06,1233336.0
2022-06-07,1377805.0
2022-06-08,997550.0
2022-06-09,1878003.0
2022-06-10,1753795.0
2022-06-11,1398861.0
2022-06-12,646011.0
2022-06-13,1502550.0
2022-06-14,1035250.0
2022-06-15,2018847.0
2022-06-16,2184241.0
2022-06-17,1864775.0
2022-06-18,653313.0
2022-06-19,1310272.0
2022-06-20,1390836.0
2022-06-21,1130822.0
2022-06-22,2438710.0
2022-06-23,1200256.0
2022-06-24,2444394.0
2022-06-25,833848.0
2022-06-26,2034720.0
2022-06-27,1846161.0
2022-06-28,1273837.0
2022-06-29,2400595.0
2022-06-30,1443917.0
2022-07-01,3154276.0
2022-07-02,3398916.0
2022-07-03,958361.0
2022-07-04,2059319.0
2022-07-05,2404068.0
2022-07-06,1675762.0
2022-07-07,3655295.0
2022-07-08,4673289.0
2022-07-09,2689559.0
2022-07-10,1162201.0
2022-07-11,2792929.0
2022-07-12,1482893.0
2022-07-13,4051059.0
2022-07-14,5373902.0
2022-07-15,1460859.0
2022-07-16,2434933.0
2022-07-17,1106423.0
2022-07-18,2608015.0
2022-07-19,4272859.0
2022-07-20,4238357.0
2022-07-21,3389016.0
2022-07-22,1514562.0
2022-07-23,3009805.0
2022-07-24,4321062.0
2022-07-25,2353250.0
2022-07-26,2930878.0
2022-07-27,1732231.0
2022-07-28,2893998.0
2022-07-29,2896092.0
2022-07-30,2503732.0
2022-07-31,854344.0
2022-08-01,2419673.0
2022-08-02,2253572.0
2022-08-03,3445915.0
2022-08-04,2945062.0
2022-08-05,2813187.0
2022-08-06,901135.0
2022-08-07,2236539.0
2022-08-08,3289138.0
2022-08-09,1926846.0
2022-08-10,1350798.0
2022-08-11,970468.0
2022-08-12,1044050.0
2022-08-13,735702.0
2022-08-14,2074052.0
2022-08-15,1451201.0
2022-08-16,1717103.0
2022-08-17,1145147.0
2022-08-18,2938582.0
2022-08-19,867327.0
2022-08-20,1735990.0
2022-08-21,1401893.0
2022-08-22,968582.0
2022-08-23,2176792.0
2022-08-24,1756104.0
2022-08-25,838986.0
2022-08-26,3252136.0
2022-08-27,1621343.0
2022-08-28,701257.0
2022-08-29,1324542.0
2022-08-30,917686.0
2022-08-31,791453.0
2022-09-01,2140864.0
2022-09-02,2655689.0
2022-09-03,637681.0
2022-09-04,593473.0
2022-09-05,713720.0
2022-09-06,1764276.0
2022-09-07,837922.0
2022-09-08,1354433.0
2022-09-09,2186675.0
2022-09-10,1135082.0
2022-09-11,507267.0
2022-09-12,700667.0
2022-09-13,1174548.0
2022-09-14,790761.0
2022-09-15,1509100.0
2022-09-16,553137.0
2022-09-17,1066260.0
2022-09-18,498657.0
2022-09-19,1510705.0
2022-09-20,1451507.0
2022-09-21,769721.0
2022-09-22,1181114.0
2022-09-23,579441.0
2022-09-24,1079079.0
2022-09-25,814201.0
2022-09-26,1438334.0
2022-09-27,794746.0
2022-09-28,1141275.0
2022-09-29,720920.0
2022-09-30,2424210.0
2022-10-01,829902.0
2022-10-02,391781.0
2022-10-03,1285741.0
2022-10-04,1138167.0
2022-10-05,950834.0
2022-10-06,3207188.0
2022-10-07,1104075.0
2022-10-08,544700.0
2022-10-09,808074.0
2022-10-10,517783.0
2022-10-11,840381.0
2022-10-12,893813.0
2022-10-13,1822341.0
2022-10-14,1708895.0
2022-10-15,475203.0
2022-10-16,1640702.0
2022-10-17,907950.0
2022-10-18,796866.0
2022-10-19,849983.0
2022-10-20,2130711.0
2022-10-21,2332488.0
2022-10-22,502719.0
2022-10-23,453113.0
2022-10-24,723815.0
2022-10-25,1377110.0
2022-10-26,2309009.0
2022-10-27,1056978.0
2022-10-28,478842.0
2022-10-29,936414.0
2022-10-30,816640.0
2022-10-31,875846.0
2022-11-01,973843.0
2022-11-02,500319.0
2022-11-03,1102876.0
2022-11-04,445174.0
2022-11-05,435475.0
2022-11-06,382388.0
2022-11-07,368692.0
2022-11-08,1690554.0
2022-11-09,1335045.0
2022-11-10,1153129.0
2022-11-11,887476.0
2022-11-12,355238.0
2022-11-13,876123.0
2022-11-14,830818.0
2022-11-15,412924.0
2022-11-16,1870610.0
2022-11-17,1546735.0
2022-11-18,1163985.0
2022-11-19,402626.0
2022-11-20,870624.0
2022-11-21,481676.0
2022-11-22,1401528.0
2022-11-23,577136.0
2022-11-24,1658756.0
2022-11-25,484104.0
2022-11-26,847621.0
2022-11-27,779606.0
2022-11-28,1569583.0
2022-11-29,1058420.0
2022-11-30,1720046.0
2022-12-01,697369.0
2022-12-02,1929267.0
2022-12-03,937255.0
2022-12-04,397840.0
2022-12-05,1507097.0
2022-12-06,570535.0
2022-12-07,1486993.0
2022-12-08,1169104.0
2022-12-09,738138.0
2022-12-10,1669212.0
2022-12-11,1034725.0
2022-12-12,460769.0
2022-12-13,2237093.0
2022-12-14,757823.0
2022-12-15,2081990.0
2022-12-16,713947.0
2022-12-17,982143.0
2022-12-18,456577.0
2022-12-19,945005.0
2022-12-20,1769629.0
2022-12-21,893510.0
2022-12-22,1954808.0
2022-12-23,823278.0
